期号	日期	红球1	红球2	红球3	红球4	红球5	红球6	蓝球
2022102	2022-09-04	09	10	12	18	29	32	14
2022101	2022-09-01	04	16	18	19	27	28	04
2022100	2022-08-30	02	06	07	15	20	21	15
2022099	2022-08-28	01	11	23	24	26	32	15
2022098	2022-08-25	02	03	04	06	21	33	05
2022097	2022-08-23	04	05	10	13	30	31	14
2022096	2022-08-21	03	16	17	19	25	33	07
2022095	2022-08-18	04	13	14	18	20	28	08
2022094	2022-08-16	06	11	13	16	19	31	02
2022093	2022-08-14	21	22	24	28	29	32	14
2022092	2022-08-11	07	10	16	20	21	27	11
2022091	2022-08-09	08	18	20	22	24	28	10
2022090	2022-08-07	01	04	25	27	29	30	07
2022089	2022-08-04	02	07	15	29	31	33	15
2022088	2022-08-02	03	09	15	17	20	22	06
2022087	2022-07-31	05	06	09	13	23	25	08
2022086	2022-07-28	01	04	08	21	23	24	11
2022085	2022-07-26	07	09	14	31	32	33	13
2022084	2022-07-24	03	18	23	24	25	32	09
2022083	2022-07-21	08	12	13	14	19	20	05
2022082	2022-07-19	04	10	11	23	30	32	14
2022081	2022-07-17	04	08	11	21	27	30	01
2022080	2022-07-14	05	12	15	17	18	27	04
2022079	2022-07-12	01	09	15	17	22	23	16
2022078	2022-07-10	01	04	05	15	17	31	09
2022077	2022-07-07	03	17	18	19	20	27	16
2022076	2022-07-05	08	09	10	13	24	29	02
2022075	2022-07-03	01	02	04	25	26	30	10
2022074	2022-06-30	05	07	15	19	29	33	15
2022073	2022-06-28	06	10	14	15	26	29	12
2022072	2022-06-26	05	14	15	16	18	32	12
2022071	2022-06-23	04	07	15	18	29	33	01
2022070	2022-06-21	04	06	09	27	28	33	02
2022069	2022-06-19	06	07	13	19	26	29	08
2022068	2022-06-16	07	12	15	24	26	29	06
2022067	2022-06-14	01	05	13	21	26	29	15
2022066	2022-06-12	06	11	14	20	27	30	09
2022065	2022-06-09	09	14	18	23	28	31	02
2022064	2022-06-07	04	06	12	13	17	31	16
2022063	2022-06-05	06	08	09	17	22	31	11
2022062	2022-06-02	16	18	20	21	23	33	05
2022061	2022-05-31	01	03	16	18	29	33	06
2022060	2022-05-29	16	18	19	24	28	32	01
2022059	2022-05-26	06	09	18	19	29	33	06
2022058	2022-05-24	06	13	14	23	31	33	01
2022057	2022-05-22	12	15	20	26	30	33	16
2022056	2022-05-19	01	06	11	14	17	26	15
2022055	2022-05-17	02	04	09	26	28	33	03
2022054	2022-05-15	08	12	21	27	28	33	11
2022053	2022-05-12	10	14	18	23	27	33	15
2022052	2022-05-10	07	24	27	29	31	32	15
2022051	2022-05-08	02	05	11	17	21	33	01
2022050	2022-05-05	03	05	08	14	27	33	08
2022049	2022-05-03	02	04	07	18	25	26	10
2022048	2022-05-01	05	07	17	20	26	31	14
2022047	2022-04-28	03	07	08	14	27	30	09
2022046	2022-04-26	02	11	24	25	27	30	14
2022045	2022-04-24	03	12	17	18	19	28	04
2022044	2022-04-21	01	07	08	21	23	29	06
2022043	2022-04-19	02	17	20	23	25	27	08
2022042	2022-04-17	05	10	11	21	22	30	13
2022041	2022-04-14	05	07	21	22	24	29	14
2022040	2022-04-12	03	12	14	16	31	33	12
2022039	2022-04-10	02	06	07	10	15	20	05
2022038	2022-04-07	09	12	13	16	24	32	04
2022037	2022-04-05	01	10	13	20	22	32	14
2022036	2022-04-03	02	03	14	16	26	31	02
2022035	2022-03-31	08	12	13	19	23	25	15
2022034	2022-03-29	14	17	26	31	32	33	10
2022033	2022-03-27	05	12	19	22	25	26	05
2022032	2022-03-24	04	10	11	14	23	32	07
2022031	2022-03-22	01	10	11	22	26	32	07
2022030	2022-03-20	12	23	24	26	27	30	05
2022029	2022-03-17	03	08	10	13	26	32	08
2022028	2022-03-15	05	11	20	22	23	29	09
2022027	2022-03-13	14	15	18	19	26	32	09
2022026	2022-03-10	03	04	10	15	22	24	02
2022025	2022-03-08	06	19	24	25	28	32	04
2022024	2022-03-06	07	09	10	14	19	24	15
2022023	2022-03-03	07	12	17	19	24	25	02
2022022	2022-03-01	01	07	11	15	17	19	06
2022021	2022-02-27	03	07	22	24	26	31	14
2022020	2022-02-24	09	11	14	22	30	32	01
2022019	2022-02-22	05	06	14	20	21	25	08
2022018	2022-02-20	07	11	16	17	30	32	16
2022017	2022-02-17	06	09	24	29	30	32	07
2022016	2022-02-15	05	10	19	20	29	31	14
2022015	2022-02-13	06	14	16	27	28	31	07
2022014	2022-02-10	06	07	13	14	15	27	04
2022013	2022-02-08	02	03	04	07	10	18	15
2022012	2022-01-27	04	07	08	29	30	31	01
2022011	2022-01-25	06	15	23	24	25	33	15
2022010	2022-01-23	12	18	19	20	21	32	15
2022009	2022-01-20	04	15	17	19	25	28	16
2022008	2022-01-18	02	03	07	09	20	21	13
2022007	2022-01-16	01	20	22	23	25	28	16
2022006	2022-01-13	03	06	09	15	22	31	02
2022005	2022-01-11	07	10	12	16	19	31	16
2022004	2022-01-09	05	19	24	28	30	32	14
2022003	2022-01-06	02	05	16	17	18	30	06
2022002	2022-01-04	02	12	21	23	25	31	08
2022001	2022-01-02	06	13	15	17	20	21	03
2021150	2021-12-30	09	14	20	21	24	26	04
2021149	2021-12-28	05	10	15	18	19	32	05
2021148	2021-12-26	10	12	15	17	19	20	08
2021147	2021-12-23	05	10	11	13	27	28	09
2021146	2021-12-21	07	09	21	22	26	32	03
2021145	2021-12-19	04	07	10	14	16	26	09
2021144	2021-12-16	02	05	13	15	23	26	07
2021143	2021-12-14	01	09	11	13	20	29	09
2021142	2021-12-12	04	07	17	19	20	24	16
2021141	2021-12-09	01	14	19	23	26	30	10
2021140	2021-12-07	05	10	16	26	27	33	01
2021139	2021-12-05	12	14	19	23	24	27	01
2021138	2021-12-02	11	14	15	16	27	32	09
2021137	2021-11-30	03	07	10	14	21	24	01
2021136	2021-11-28	02	06	09	15	19	28	16
2021135	2021-11-25	03	10	17	19	21	31	04
2021134	2021-11-23	01	02	16	19	25	31	08
2021133	2021-11-21	01	03	12	19	27	31	10
2021132	2021-11-18	01	04	06	14	20	28	08
2021131	2021-11-16	08	11	18	19	20	24	01
2021130	2021-11-14	08	09	15	24	26	30	06
2021129	2021-11-11	04	15	21	27	28	29	10
2021128	2021-11-09	05	17	20	21	23	33	04
2021127	2021-11-07	07	15	16	20	27	29	07
2021126	2021-11-04	19	20	23	27	28	31	01
2021125	2021-11-02	14	19	20	23	24	31	09
2021124	2021-10-31	01	03	18	22	29	32	02
2021123	2021-10-28	06	14	15	19	29	31	05
2021122	2021-10-26	04	05	12	15	18	28	07
2021121	2021-10-24	04	05	12	16	22	30	15
2021120	2021-10-21	01	07	08	12	13	18	05
2021119	2021-10-19	03	09	10	11	28	29	13
2021118	2021-10-17	02	06	14	18	20	31	13
2021117	2021-10-14	03	05	17	21	27	33	04
2021116	2021-10-12	06	14	17	18	31	33	06
2021115	2021-10-10	02	10	12	15	24	27	08
2021114	2021-10-07	04	06	08	14	24	27	02
2021113	2021-10-05	04	07	10	22	27	30	02
2021112	2021-09-30	05	06	21	25	28	33	07
2021111	2021-09-28	17	20	22	23	26	28	06
2021110	2021-09-26	10	13	15	24	31	32	02
2021109	2021-09-23	02	03	10	17	20	26	16
2021108	2021-09-21	11	15	18	24	26	32	09
2021107	2021-09-19	02	03	17	19	25	30	01
2021106	2021-09-16	01	04	07	14	30	31	03
2021105	2021-09-14	10	14	15	22	27	32	09
2021104	2021-09-12	01	07	17	20	22	28	15
2021103	2021-09-09	10	13	15	25	29	30	15
2021102	2021-09-07	05	09	15	24	27	30	09
2021101	2021-09-05	02	04	12	22	29	31	01
2021100	2021-09-02	07	09	12	13	14	29	16
2021099	2021-08-31	09	11	17	18	20	27	15
2021098	2021-08-29	01	10	13	18	26	32	05
2021097	2021-08-26	03	11	12	13	25	28	12
2021096	2021-08-24	01	07	11	14	15	26	11
2021095	2021-08-22	08	12	17	24	27	28	13
2021094	2021-08-19	09	11	24	25	28	33	15
2021093	2021-08-17	05	11	15	23	28	33	03
2021092	2021-08-15	02	07	08	10	12	31	03
2021091	2021-08-12	04	06	16	24	26	33	16
2021090	2021-08-10	05	06	12	14	27	28	08
2021089	2021-08-08	01	02	07	13	23	24	12
2021088	2021-08-05	04	12	15	16	19	26	06
2021087	2021-08-03	02	13	16	19	23	24	04
2021086	2021-08-01	06	08	10	14	28	29	01
2021085	2021-07-29	05	06	07	11	14	20	02
2021084	2021-07-27	05	07	09	11	21	28	01
2021083	2021-07-25	04	09	11	25	28	33	04
2021082	2021-07-22	03	06	11	13	26	32	05
2021081	2021-07-20	01	03	05	18	22	23	01
2021080	2021-07-18	05	08	22	23	24	29	09
2021079	2021-07-15	01	03	10	24	28	29	13
2021078	2021-07-13	04	06	15	26	27	31	12
2021077	2021-07-11	08	15	17	25	27	30	10
2021076	2021-07-08	03	09	21	23	30	32	06
2021075	2021-07-06	12	15	16	21	22	29	01
2021074	2021-07-04	04	05	09	14	25	27	07
2021073	2021-07-01	01	06	18	22	24	25	08
2021072	2021-06-29	01	09	15	16	19	21	15
2021071	2021-06-27	01	07	24	31	32	33	08
2021070	2021-06-24	01	05	11	15	16	29	15
2021069	2021-06-22	06	11	18	20	23	26	05
2021068	2021-06-20	04	14	18	24	31	32	15
2021067	2021-06-17	01	11	19	23	25	29	09
2021066	2021-06-15	02	06	19	26	30	33	15
2021065	2021-06-13	01	04	08	19	29	33	16
2021064	2021-06-10	04	06	08	15	16	18	16
2021063	2021-06-08	04	05	06	09	23	24	09
2021062	2021-06-06	12	13	15	20	22	25	10
2021061	2021-06-03	04	09	12	18	20	23	01
2021060	2021-06-01	10	11	17	20	29	30	15
2021059	2021-05-30	01	09	11	18	32	33	14
2021058	2021-05-27	09	11	13	18	19	28	14
2021057	2021-05-25	05	06	09	17	25	33	16
2021056	2021-05-23	08	21	22	23	29	32	01
2021055	2021-05-20	03	11	12	16	22	28	10
2021054	2021-05-18	07	13	21	22	24	31	02
2021053	2021-05-16	07	10	14	16	24	33	16
2021052	2021-05-13	03	04	06	19	21	30	14
2021051	2021-05-11	08	09	10	19	27	29	15
2021050	2021-05-09	02	09	10	16	25	28	08
2021049	2021-05-06	04	11	13	22	25	32	01
2021048	2021-05-04	04	15	17	22	29	32	03
2021047	2021-05-02	03	07	13	16	24	29	01
2021046	2021-04-29	05	09	13	21	28	33	06
2021045	2021-04-27	01	04	14	15	17	32	02
2021044	2021-04-25	05	07	14	17	26	28	13
2021043	2021-04-22	02	03	17	18	23	24	01
2021042	2021-04-20	05	09	10	22	25	27	08
2021041	2021-04-18	02	09	18	23	26	32	14
2021040	2021-04-15	02	06	07	24	28	29	16
2021039	2021-04-13	02	08	21	24	29	31	13
2021038	2021-04-11	05	07	09	16	18	27	06
2021037	2021-04-08	13	17	19	24	26	30	12
2021036	2021-04-06	01	02	06	11	21	26	11
2021035	2021-04-04	12	14	18	20	26	28	11
2021034	2021-04-01	04	10	12	18	23	25	01
2021033	2021-03-30	02	12	13	14	31	33	06
2021032	2021-03-28	01	05	08	15	16	30	03
2021031	2021-03-25	06	11	21	25	28	31	07
2021030	2021-03-23	08	09	13	27	29	31	05
2021029	2021-03-21	08	10	15	17	22	30	12
2021028	2021-03-18	11	16	23	26	27	33	05
2021027	2021-03-16	05	07	09	16	20	26	08
2021026	2021-03-14	03	05	13	19	20	25	03
2021025	2021-03-11	06	08	14	17	18	30	11
2021024	2021-03-09	01	04	06	10	11	18	02
2021023	2021-03-07	02	21	22	23	27	28	11
2021022	2021-03-04	10	15	17	25	31	32	06
2021021	2021-03-02	04	08	17	24	28	33	13
2021020	2021-02-28	01	03	06	07	09	11	02
2021019	2021-02-25	12	16	17	24	28	29	08
2021018	2021-02-23	02	08	14	23	25	32	06
2021017	2021-02-21	09	15	18	29	32	33	02
2021016	2021-02-07	03	08	09	13	15	18	10
2021015	2021-02-04	06	14	16	26	28	29	07
2021014	2021-02-02	04	15	21	25	29	33	06
2021013	2021-01-31	06	09	12	16	27	31	06
2021012	2021-01-28	03	06	14	18	20	26	01
2021011	2021-01-26	05	10	16	23	27	33	14
2021010	2021-01-24	01	04	11	19	32	33	05
2021009	2021-01-21	02	04	07	24	25	32	13
2021008	2021-01-19	01	05	07	14	18	33	07
2021007	2021-01-17	02	04	12	21	25	32	16
2021006	2021-01-14	06	08	22	24	25	26	01
2021005	2021-01-12	07	09	14	26	30	31	04
2021004	2021-01-10	02	03	07	08	17	22	15
2021003	2021-01-07	06	09	16	18	22	29	11
2021002	2021-01-05	06	10	13	25	26	32	11
2021001	2021-01-03	02	03	13	18	20	31	11
2020134	2020-12-31	02	09	10	20	22	26	01
2020133	2020-12-29	03	19	22	23	27	29	07
2020132	2020-12-27	01	04	11	12	14	23	04
2020131	2020-12-24	08	19	22	26	27	30	07
2020130	2020-12-22	08	09	11	14	17	29	16
2020129	2020-12-20	01	02	05	15	28	33	04
2020128	2020-12-17	08	10	15	16	23	26	10
2020127	2020-12-15	01	04	18	19	26	31	07
2020126	2020-12-13	03	07	12	14	23	28	11
2020125	2020-12-10	05	12	16	26	30	31	13
2020124	2020-12-08	16	18	19	20	29	33	12
2020123	2020-12-06	01	03	18	19	26	29	03
2020122	2020-12-03	12	15	17	24	26	31	15
2020121	2020-12-01	02	04	06	21	25	29	03
2020120	2020-11-29	01	02	03	04	09	10	12
2020119	2020-11-26	01	09	22	28	32	33	15
2020118	2020-11-24	11	13	19	26	30	33	05
2020117	2020-11-22	07	08	09	10	16	27	07
2020116	2020-11-19	05	06	14	16	19	27	10
2020115	2020-11-17	01	04	12	20	25	32	02
2020114	2020-11-15	01	05	11	24	30	32	03
2020113	2020-11-12	01	03	07	10	22	32	11
2020112	2020-11-10	02	09	12	17	28	32	05
2020111	2020-11-08	06	09	17	22	24	26	16
2020110	2020-11-05	02	06	09	14	22	25	04
2020109	2020-11-03	06	13	16	20	23	32	13
2020108	2020-11-01	10	12	15	17	23	32	05
2020107	2020-10-29	03	09	11	24	25	28	16
2020106	2020-10-27	02	04	11	15	18	28	10
2020105	2020-10-25	06	14	19	20	22	24	01
2020104	2020-10-22	04	08	10	16	27	29	09
2020103	2020-10-20	04	09	10	22	28	32	08
2020102	2020-10-18	09	10	19	25	26	29	08
2020101	2020-10-15	10	17	24	25	28	30	15
2020100	2020-10-13	01	07	15	16	20	23	07
2020099	2020-10-11	05	06	11	12	15	30	12
2020098	2020-10-08	06	08	11	22	25	33	02
2020097	2020-10-06	02	08	21	25	26	30	10
2020096	2020-09-29	01	20	23	26	27	32	15
2020095	2020-09-27	03	09	16	17	20	26	02
2020094	2020-09-24	10	15	17	27	29	31	08
2020093	2020-09-22	04	05	10	13	15	19	15
2020092	2020-09-20	01	06	12	18	22	24	03
2020091	2020-09-17	01	09	11	12	16	19	16
2020090	2020-09-15	02	21	23	26	31	32	06
2020089	2020-09-13	02	14	16	21	29	30	10
2020088	2020-09-10	01	06	12	26	29	30	12
2020087	2020-09-08	11	15	20	23	25	33	10
2020086	2020-09-06	02	04	06	15	24	27	06
2020085	2020-09-03	01	02	05	09	19	24	16
2020084	2020-09-01	03	07	16	17	23	30	07
2020083	2020-08-30	01	19	25	26	30	31	12
2020082	2020-08-27	02	08	11	17	21	30	09
2020081	2020-08-25	01	05	13	14	27	33	15
2020080	2020-08-23	14	15	18	22	31	33	01
2020079	2020-08-20	05	12	20	21	22	29	14
2020078	2020-08-18	03	11	14	16	21	32	04
2020077	2020-08-16	03	10	16	21	25	27	12
2020076	2020-08-13	10	15	16	18	20	27	06
2020075	2020-08-11	03	11	13	20	24	30	16
2020074	2020-08-09	04	08	09	13	19	33	12
2020073	2020-08-06	05	07	11	13	27	29	03
2020072	2020-08-04	06	08	10	15	17	26	04
2020071	2020-08-02	09	11	12	13	22	23	08
2020070	2020-07-30	01	02	04	06	19	21	15
2020069	2020-07-28	03	09	10	13	18	26	04
2020068	2020-07-26	12	16	21	26	27	32	10
2020067	2020-07-23	04	07	09	23	27	30	08
2020066	2020-07-21	02	09	13	17	26	28	07
2020065	2020-07-19	09	15	18	21	23	26	08
2020064	2020-07-16	01	03	07	21	27	32	01
2020063	2020-07-14	12	15	16	22	29	32	14
2020062	2020-07-12	10	14	17	22	26	27	05
2020061	2020-07-09	08	17	24	26	27	31	04
2020060	2020-07-07	05	09	14	20	24	30	08
2020059	2020-07-05	02	04	10	17	22	25	14
2020058	2020-07-02	01	03	11	12	19	26	07
2020057	2020-06-30	09	14	21	23	26	32	03
2020056	2020-06-28	02	05	08	12	26	31	14

# Updated at: 2026-05-20 12:12:15
